No.,Item_Name,Food_Category,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
40,Grilled Chicken Sandwich Whatameal,Sandwiches,1073,1150,35,5,0,95,1330,184,40,96,13
41,Chop House Cheddar Burger Jr Whatameal,Burgers,1227,1430,58,15,1,80,1330,201,36,119,6
42,"Big Farm Hamburger, High Calorie",Burgers,431,930,46,15,2,95,1330,93,33,8,7
47,Cheesy Wakin Bacon Egg Sandwich,Sandwiches,201,580,26,11,0.5,240,1340,54,33,7,2
49,#7 Omelet w/ Bacon on White Sub Roll,Sandwiches,284,680,32,14,0,480,1340,63,39,3,4
50,#7 Omelet w/ Bacon on Wheat Sub Roll,Sandwiches,284,700,32.5,14.5,0,480,1340,63,39,3,4
54,French Toast Egg Sandwich w/ 2 Eggs,Sandwiches,274,780,36,16,1,435,1350,78,34,27,2
55,The Big Chicken Fillet Sandwich,Sandwiches,300,680,35,6,0,75,1360,62,32,11,4
58,Grilled Chicken Sub on Wheat Wrap,Sandwiches,380,730,38,7.5,0,100,1370,59,40,6,6
59,Sweet & Spicy Bacon Burger Jr Whatameal w/ Lower Calorie Sides,Burgers,859,640,33,13,1,80,1370,51,32,16,3
60,The Big Carl,Burgers,321,920,58,23,2,140,1380,56,47,12,3
61,"Grilled Veggie Wrap, Flour",Sandwiches,487,945,58.5,23.5,0.5,100,1380,69,36,10,7
62,The Big Carl,Burgers,321,920,58,23,2,140,1380,56,47,12,3
63,#12 Cancro Special on Tomato Wrap,Sandwiches,423,770,33.5,14.5,0,135,1380,59,58,11,4
64,Grilled Veggie Wrap on Spinach Wrap,Sandwiches,452,810,46,21,0.5,85,1385,66,33,11,5
67,#12 Cancro Special on Spinach Wrap,Sandwiches,423,770,33.5,14.5,0,135,1400,60,58,8,4
69,Italian Chicken on Potato Roll,Sandwiches,297,670,31,9,0,95,1410,58,44,8,6
70,"Sausage Pizza, 8 in",Pizza,336,820,34,14,0,70,1420,97,39,8,4
72,All Natural Budweiser Beer Cheese Bacon Burger Single,Burgers,327,710,38,16,,85,1430,51,40,11,3
75,#10 Tuna Fish on Flour Tortilla Wrap,Sandwiches,418,820,49,8.5,0,85,1435,64,32,6,6
77,"#10 Tuna Salad, Wheat Regular",Sandwiches,428,810,43,6.5,0,85,1440,73,34,8,5
79,Grilled Chicken Sub on Tomato Wrap,Sandwiches,380,740,38,8,0,100,1450,60,40,12,3
80,Chorizo Sunrise,Sandwiches,315,840,51,21,0.5,275,1460,61,36,8,5
81,Double Meat Whataburger,Burgers,400,830,44,14,2,90,1470,62,47,12,4
84,"#17 Jersey Mike's Famous Philly, Flour Tortilla Wrap",Sandwiches,387,670,28,13,0,105,1475,65,41,9,5
87,Chicken & Double Smoked Bacon,Sandwiches,201,620,26,8,0,110,1480,65,31,12,3
90,The Big Chicken Fillet Sandwich,Sandwiches,329,750,42,8,,85,1490,63,32,11,3
94,"Whataburger Patty Melt, Single Whatameal",Burgers,1022,1360,58,14,1,70,1500,180,33,89,5
95,Double Meat Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1405,870,44,14,2,90,1500,72,47,17,5
100,"Whataburger Patty Melt, Single Whatameal",Burgers,1262,1470,58,14,1,70,1510,209,33,118,5
101,The Big Chicken Fillet Sandwich,Sandwiches,312,710,36,6,1,80,1510,64,35,10,4
102,Chicken Fajita Taco Whatameal,Sandwiches,1236,1170,32,6,0,80,1510,195,34,114,7
105,Loaded Breakfast Burrito,Sandwiches,306,790,50,22,0,395,1520,53,32,2,3
109,Whataburger Whatameal,Burgers,1351,1420,46,10,1,45,1530,226,34,124,8
110,#6 Omelet w/ Ham on Spinach Wrap,Sandwiches,288,620,29,13,0,475,1535,55,36,3,3
111,Super Star w/ Cheese,Burgers,390,930,56,23,2,140,1540,59,48,14,3
112,The Breakfast Burger,Burgers,294,830,44,19,1,255,1540,68,39,13,4
114,Super Star w/ Cheese,Burgers,390,920,56,23,2,140,1540,59,48,13,4
116,Sweet & Spicy Bacon Burger Jr Whatameal,Burgers,861,1140,47,15,1,80,1550,146,35,81,4
127,Spicy Nacho Chicken Sandwich,Sandwiches,271,750,37,7,0,55,1600,69,31,7,4
128,Turkey Pesto,Sandwiches,337,710,37,14,0,90,1600,56,40,2,3
132,#18 Breaded Chicken Parmesan on Wheat Wrap,Sandwiches,335,690,27,11,0,85,1600,69,45,4,8
133,Chorizo Sunrise w/ 2 Eggs,Sandwiches,361,920,57,23,1,465,1600,62,42,8,5
134,"#10 Tuna Fish, Spinach Wrap",Sandwiches,418,820,49,9,0,85,1605,64,32,8,4
135,#10 Tuna Fish on Spinach Wrap,Sandwiches,418,820,49,9,0,85,1605,64,32,8,4
136,Turkey & Cheddar,Sandwiches,322,660,29,7,0.5,70,1610,61,34,12,3
137,Green Chile Double Jr Whatameal,Burgers,1236,1370,51,14,1,70,1610,201,33,119,6
140,"#17 Jersey Mike's Famous Philly, Tomato Wrap",Sandwiches,387,670,28,13.5,0,105,1625,64,41,14,3
141,"Turkey, Bacon & Avocado",Sandwiches,318,660,30,5,0,60,1630,64,34,9,4
142,1/3 lb Cheeseburger,Burgers,256,640,35,13,,105,1630,55,31,15,10
145,Avocado Bacon Burger Whatameal w/ Lower Calorie Sides,Burgers,1339,860,52,15,1,90,1630,62,37,12,5
146,1/3 lb Cheeseburger,Burgers,244,640,33,12,2,100,1640,56,33,14,2
148,Grilled Chicken Melt Whatameal,Sandwiches,1258,1220,32,6,0,95,1640,203,38,119,7
149,"#17 Jersey Mike's Famous Philly, Spinach Wrap",Sandwiches,387,670,28,13.5,0,105,1645,65,41,11,3
150,Western Bacon Cheeseburger,Burgers,250,750,35,14,1,80,1650,75,36,16,4
151,"#9 Club Supreme, Wheat Wrap",Sandwiches,479,950,55,16,0.5,120,1650,61,53,5,8
152,Mushroom Swiss Burger Jr Whatameal,Burgers,1264,1490,63,17,1,85,1650,201,36,119,6
153,Western Bacon Cheeseburger,Burgers,250,750,35,14,1,80,1650,75,36,16,4
155,Turkey Santa Fe,Sandwiches,345,730,40,14,0,90,1660,57,36,2,3
157,Bacon & Spinach on Spinach Florentine w/ 2 Eggs,Sandwiches,291,810,49,16,1,445,1660,57,38,9,3
161,Chop House Cheddar Burger,Burgers,373,1110,69,26,2,150,1660,61,60,12,3
162,"Farmhouse Garden Chicken, High Calorie, Full",Salads,612,1150,68,20,0,80,1670,103,32,23,10
164,Monterey Melt Jr Whatameal,Burgers,1009,1330,59,16,1,75,1680,172,33,89,6
165,#18 Breaded Chicken Parmesan on Tomato Wrap,Sandwiches,335,700,27,11.5,0,85,1680,70,45,10,5
166,#6 Roast Beef & Provolone on White Giant,Sandwiches,765,1330,42.5,18.5,0.5,235,1680,128,106,13,5
169,Chop House Cheddar Burger Whatameal w/ Lower Calorie Sides,Burgers,1376,1130,68,26,2,155,1690,71,61,17,4
171,Monterey Melt Jr Whatameal,Burgers,1249,1430,59,16,1,75,1690,201,33,119,6
172,Chop House Cheddar Burger Whatameal w/ Lower Calorie Sides,Burgers,1378,1150,69,26,2,155,1690,71,61,17,4
173,Grilled Chicken Melt Whatameal,Sandwiches,1001,1110,33,7,0,105,1700,172,37,89,7
175,#18 Breaded Chicken Parmesan on Spinach Wrap,Sandwiches,335,700,27,11.5,0,85,1700,71,45,7,5
176,#15 Meatball & Cheese on Flour Tortilla Wrap,Sandwiches,314,830,47.5,20,0,90,1710,65,36,5,8
177,"Farmhouse Garden Chicken Salad, Full, 2pm Close",Salads,620,710,31,10,1,130,1710,57,52,14,8
184,"Three Cheese Burger, High Calorie",Burgers,474,1080,57,23,1.5,140,1740,94,44,9,7
185,Buttermilk Chicken Bacon & Swiss Sandwich,Sandwiches,295,650,31,9,0,90,1750,56,39,9,2
186,Santa Fe Wrap,Sandwiches,314,650,32,16,0,380,1750,60,38,7,2
187,"#9 Club Supreme, Spinach Wrap",Sandwiches,479,960,55,16,0.5,120,1750,63,54,8,5
189,Triple Meat Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1489,1120,63,21,3,135,1750,72,65,17,5
190,#8 Omelet w/ Ham & Bacon on Flour Tortilla Wrap,Sandwiches,309,740,39.5,17,0,500,1755,55,42,1,5
192,"Taco Salad, Ground Beef",Salads,548,850,47,15,1,85,1760,70,38,8,14
196,#8 Omelet w/ Ham & Bacon on White Sub Roll,Sandwiches,319,710,33,14.5,0,500,1760,61,43,2,2
198,"The Grilled Burrito, Chicken",Sandwiches,478,830,31,14,0,130,1780,88,46,6,6
201,#14 Veggie on Wheat Giant,Sandwiches,719,1310,57,36,2,160,1790,135,66,17,9
203,Green Chile Double Jr Whatameal w/ Lower Calorie Sides,Burgers,1355,1010,57,21,2,125,1790,69,54,15,4
207,Pepperoni Pizza,Pizza,323,840,33,13,1,70,1800,97,35,8,4
209,"Chicken Cobb Salad, High Calorie, Regular",Salads,474,1020,62,17,0,175,1800,73,42,20,6
210,"Grilled Burrito, Beef",Sandwiches,383,700,31,14,1.5,85,1800,71,36,5,8
211,Grilled Breakfast Sandwich,Sandwiches,253,620,29,10,0,490,1810,53,36,4,4
212,Grilled Breakfast Sandwich,Sandwiches,253,616,29,10,0,491,1813,53,36,4,4
213,1/3 lb Budweiser Beer Cheese Bacon Thickburger,Burgers,358,790,46,20,2,115,1820,51,43,12,2
214,1/3 lb Budweiser Beer Cheese Bacon Thickburger,Burgers,358,790,46,2046,,115,1820,51,43,12,2
218,Jalapeno & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1357,720,32,12,1,65,1830,73,34,17,5
219,Jalapeno & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1357,720,32,12,1,65,1830,73,34,17,5
221,Macho Combo Burrito,Sandwiches,538,950,37,20,0.5,110,1840,100,46,6,16
226,#9 Club Supreme on Wheat Regular,Sandwiches,478,930,48,14.5,0,145,1865,70,57,8,5
227,"The Breakfast Burger, Double",Burgers,377,1080,64,26,2,305,1870,68,59,13,4
229,#15 Meatball & Cheese on Spinach Wrap,Sandwiches,314,830,47.5,20.5,0,90,1880,65,36,7,6
233,Epic Scrambler w/ Carne Asada Steak,Sandwiches,459,960,54,20,0,595,1890,73,39,6,3
236,#9 Club Supreme on Flour Tortilla Wrap,Sandwiches,474,960,54.5,16.5,0,145,1895,62,56,6,6
239,Bacon & Cheese Whataburger,Burgers,354,750,37,13,1,80,1910,62,39,12,4
241,"Taco Salad, Beef",Salads,506,920,56,17,5,70,1920,72,35,5,8
242,Mushroom Swiss Burger Whatameal w/ Lower Calorie Sides,Burgers,1414,1150,70,23,2,135,1920,71,56,16,4
243,#8 Omelet w/ Ham & Bacon on Spinach Wrap,Sandwiches,309,740,39.5,17.5,0,500,1925,55,42,3,3
244,Roast Turkey & Swiss Sandwich,Sandwiches,326,710,28,7,0,65,1930,79,38,15,5
246,"Taco Salad, Beef",Salads,506,930,56,17,,65,1930,73,35,7,9
247,"California Cheesesteak, Flour Tortilla Wrap",Sandwiches,467,880,53,17,0,130,1930,62,40,8,5
248,Roast Turkey & Swiss Sandwich,Sandwiches,326,710,28,7,0,65,1930,79,38,15,5
249,"California Cheesesteak, Wheat Regular",Sandwiches,477,875,47,15,0,130,1935,71,42,10,4
252,Bacon & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1314,780,37,13,1,85,1940,70,39,15,4
253,"Taco Salad, Chicken",Salads,560,870,53,17,0,120,1950,60,40,9,9
254,"Taco Salad, Steak",Salads,560,870,53,17,0,120,1950,60,40,9,9
